city,population,include,migration_2020,unemployment_rate,median_income,median_age,summer_comfort_index,winter_comfort_index,cost_of_living_index,mean_commute_time,mean_school_expense,student_per_teacher,violent_crime_index,property_crime_index,sales_tax_rate,income_tax_rate,health_cost_index,water_quality_index,air_quality_index,white_percent,black_percent,asian_percent,native_american_percent,pacific_islander_percent,other_percent,multiple_percent,hispanic_percent,population_density,median_house_price
Fircrest,7109,1,0.042,0.068,60544,40.1,9.3,5.5,1.287,26.7,12309,18.6,10.2,35.4,0.099,0,0.8,0.6,0.37,0.68,0.07,0.056,0.007,0.012,0,0.121,0.054,4371,587100
Five Corners,20428,1,0.056,0.062,65645,36.2,9.3,5.3,1.172,25.3,9997,18.3,13.3,43.5,0.084,0,0.776,0.47,0.42,0.807,0.024,0.04,0.005,0,0.009,0.04,0.075,3437,383100
Fobes Hill,2798,1,0.123,0.063,66341,46,9.1,5.3,1.463,27.9,14334,22.7,8.8,26.8,0.103,0,0.801,0.53,0.51,0.936,0,0.006,0,0.018,0,0.01,0.029,643,616300
Fords Prairie,2605,1,-0.047,0.07,38842,49.8,9.1,5.3,0.954,27.1,9852,19.5,10.4,31.2,0.082,0,0.796,0.6,0.66,0.816,0,0.019,0,0,0,0.005,0.16,530,312100
Forks,3373,1,0.068,0.074,34868,33.2,8.6,4.6,0.9,21.2,7207,23.3,26.5,36.1,0.084,0,0.803,0.6,0.93,0.714,0.036,0.002,0.037,0,0,0.03,0.182,950,289200
Fort Lewis,12773,1,0.017,0.068,44949,22.2,9.2,5.3,0.99,12.6,18279,19,14.2,49.7,0.093,0,0.8,0.6,0.66,0.579,0.145,0.027,0.001,0.025,0,0.042,0.181,1473,433000
Four Lakes,634,1,-0.012,0.063,45662,66.1,9.1,4,0.977,21.5,14570,18.5,8.1,24.4,0.088,0,0.82,0.38,0.78,0.943,0,0,0.03,0,0,0.022,0.005,129,449900
Fox Island,3534,1,0.29,0.068,95487,44.8,9.3,5.5,1.64,39.7,9358,20.8,10.2,34.8,0.079,0,0.8,0.6,0.63,0.926,0,0.005,0.012,0,0.003,0.045,0.008,803,912600
Frederickson,21651,1,0.228,0.068,69250,33.7,9.2,5.4,1.224,36,10733,20.8,12.4,41,0.093,0,0.8,0.6,0.58,0.622,0.083,0.073,0.007,0.017,0,0.09,0.108,2035,479200
Freeland,1997,1,-0.04,0.065,45938,57.6,9.1,5.8,1.334,27.8,11223,19,11.5,35.4,0.087,0,0.754,0.2,0.75,0.885,0.024,0.004,0,0.023,0.005,0.054,0.005,470,668700
Friday Harbor,2587,1,0.022,0.062,46719,43.2,9,5.6,1.354,11.1,11615,19.9,13.4,41.4,0.081,0,0.785,0.6,0.8,0.827,0.001,0.013,0.005,0,0,0.028,0.126,1177,831500
Garfield,581,1,-0.018,0.048,38125,53.3,9,4.4,0.845,29.8,22279,8.1,6.5,13.4,0.078,0,0.825,0.27,0.89,0.937,0.01,0,0,0,0,0,0.053,629,244500
